APP_NUMBER,AMOUNT_FUNDED,INDUSTRY,COUNTRY,ANNUAL_REVENUE,YEARS_IN_BUS,FUNDED_DATE
CD2203280463,78559.5,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/19/2022
CD2106070758,208075,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,6/8/2021
CD2110010704,40795,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,1/11/2022
CD2201050258,140553.58,MANUFACTURING,USA,"5,000,000 - 10,000,000",10+ years,2/10/2022
CD2111080576,55290.83,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",9 years,12/31/2021
CD2103241334,18450.36,AGRICULTURE,CAN,"Under 250,000",5 years,4/9/2021
CD2109090884,83135,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/15/2021
CD2201140037,31465.97,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,1/31/2022
CD2110200886,85447.98,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,11/18/2021
CD2103241370,34104.4,LONG-HAUL TRANSPORTATION,CAN,"Over 10,000,000",10+ years,3/29/2021
CD2110010580,55370,AGRICULTURE,CAN,"Under 250,000",10+ years,10/1/2021
CD2201140006,61535,CONSTRUCTION,USA,"250,000 - 500,000",5 years,2/7/2022
CD2112130337,28283.5,AGRICULTURE,USA,"Under 250,000",10+ years,12/13/2021
CD2103241156,42049.88,CONSTRUCTION,CAN,"Under 250,000",10+ years,4/1/2021
CD2110010793,164175,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,10/12/2021
CD2201140013,53087.19,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",3 years,1/21/2022
CD2203311006,47319.5,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,4/4/2022
CD2103241253,18193.5,AGRICULTURE,USA,"250,000 - 500,000",10+ years,3/26/2021
CD2109300779,58489.5,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",6 years,10/6/2021
CD2105130374,37722.84,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,5/17/2021
CD2112100015,44775.94,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,12/23/2021
CD2103241170,15625,CONSTRUCTION,USA,"500,000 - 1,000,000",6 years,4/5/2021
CD2109300786,12016.59,CONSTRUCTION,USA,"250,000 - 500,000",3 years,12/15/2021
CD2102220359,19154.29,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,4/6/2021
CD2203230731,30000,OTHER,USA,"Under 250,000",2 years,4/25/2022
CD2103241215,104025,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/29/2021
CD2110020115,32195,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,11/1/2021
CD2201050302,136071.43,MANUFACTURING,USA,"5,000,000 - 10,000,000",10+ years,3/28/2022
CD2112100005,34114.62,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,12/14/2021
CD2103241272,10572.26,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,4/9/2021
CD2110010856,26042.79,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,10/19/2021
CD2201050304,97712.25,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,1/17/2022
CD2112101214,86139.5,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,12/14/2021
CD2103241217,121900.54,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/30/2021
CD2109270077,21922.75,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,9/30/2021
CD2201050330,48004.75,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",1 year,1/11/2022
CD2112100059,47535,OTHER,USA,"Under 250,000",3 years,12/14/2021
CD2103241149,36015,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,10/22/2021
CD2109091101,71195,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,9/20/2021
CD2201050320,44057.98,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,3/22/2022
CD2109220851,52737.7,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,11/18/2021
CD2105040885,23752.12,CONSTRUCTION,USA,"Under 250,000",5 years,5/11/2021
CD2109091209,97214,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,9/15/2021
CD2112160698,40995,CONSTRUCTION,USA,"500,000 - 1,000,000",9 years,12/21/2021
CD2203311282,43290.5,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,5/5/2022
CD2104130071,35171.94,MATERIAL HANDLING,CAN,"1,000,000 - 5,000,000",10+ years,4/13/2021
CD2109091096,37245.69,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/28/2021
CD2010210247,19495,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,3/19/2021
CD2203230748,165862.11,MANUFACTURING,USA,"1,000,000 - 5,000,000",10+ years,3/28/2022
CD2103250006,22060,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,3/26/2021
CD2109091207,8649.63,CONSTRUCTION,USA,"Under 250,000",10+ years,10/7/2021
CD2112160803,77385,CONSTRUCTION,USA,"1,000,000 - 5,000,000",7 years,12/17/2021
CD2112100798,29272.27,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",5 years,12/17/2021
CD2104121206,95395.2,CONSTRUCTION,CAN,"Under 250,000",4 years,5/18/2021
CD2109091060,28260,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,9/15/2021
CD2012150099,21245,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",6 years,7/26/2021
CD2112100084,50535,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,12/13/2021
CD2105040768,11467.72,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,6/11/2021
CD2110281150,16200,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,12/15/2021
CD2105130471,37210.79,OTHER,USA,"Under 250,000",1 year,5/31/2021
CD2109220778,11828.26,FORESTRY,USA,"250,000 - 500,000",9 years,9/28/2021
CD2104090915,70113.93,AGRICULTURE,USA,"500,000 - 1,000,000",10+ years,4/20/2021
CD2109091202,163843.5,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,9/15/2021
CD2101050522,13919.95,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,5/17/2021
CD2112100771,29690,CONSTRUCTION,USA,"Under 250,000",2 years,2/15/2022
CD2105040939,96216.5,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,6/1/2021
CD2109270079,88518.56,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",7 years,12/8/2021
CD2101050530,55995,AGGREGATE,USA,"500,000 - 1,000,000",10+ years,4/13/2021
CD2109220950,57389,MANUFACTURING,USA,"250,000 - 500,000",10+ years,9/27/2021
CD2106070512,11720,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,6/25/2021
CD2109091103,14994.69,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,10/12/2021
CD2010210760,20000,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",10+ years,1/20/2021
CD2109220936,108613.4,OTHER,USA,"1,000,000 - 5,000,000",10+ years,11/9/2021
CD2105041091,74452.97,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,5/7/2021
CD2109091108,30195,OTHER,CAN,"500,000 - 1,000,000",10+ years,10/29/2021
CD2111030939,21554.6,CONSTRUCTION,USA,"Under 250,000",5 years,11/17/2021
CD2109220908,85335,CONSTRUCTION,CAN,"Over 10,000,000",8 years,10/6/2021
CD2105041104,63970.5,FORESTRY,USA,"Under 250,000",3 years,5/19/2021
CD2109091137,24343.97,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,9/30/2021
CD2105310643,10990.8,CONSTRUCTION,USA,"250,000 - 500,000",6 years,6/2/2021
CD2111290648,27061.81,CONSTRUCTION,CAN,"Under 250,000",7 years,12/15/2021
CD2105040667,135175,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,6/29/2021
CD2109270062,34382,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,9/29/2021
CD2105130395,33816.25,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,6/8/2021
CD2110120714,28022,CONSTRUCTION,USA,"Under 250,000",10+ years,10/13/2021
CD2104121360,27896,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,4/15/2021
CD2109091170,25870.56,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",6 years,9/21/2021
CD2010210751,37030.21,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,5/13/2021
CD2110120179,45107.18,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,1/31/2022
CD2107160393,78750,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",3 years,7/30/2021
CD2109100023,55227,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,9/20/2021
CD2101050547,17652.5,CONSTRUCTION,USA,"500,000 - 1,000,000",7 years,1/13/2021
CD2111080505,57459.4,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,1/26/2022
CD2205090771,16760,CONSTRUCTION,CAN,"Under 250,000",10+ years,5/11/2022
CD2109100054,46550,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,9/27/2021
CD2111030960,10117.5,OTHER,USA,"250,000 - 500,000",8 years,11/25/2021
CD2111080622,25571.5,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,3/10/2022
CD2106070324,72965.08,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,6/9/2021
CD2109091308,79034.6,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,9/15/2021
CD2101050572,57593,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,1/14/2021
CD2109221068,18629.36,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,9/29/2021
CD2104090923,120763.87,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,5/19/2021
CD2109091373,159296,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,9/23/2021
CD2204190209,137703.81,CONSTRUCTION,USA,"5,000,000 - 10,000,000",2 years,4/27/2022
CD2203280381,21000,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,4/13/2022
CD2205090676,31325,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,5/10/2022
CD2109091413,48833.86,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/24/2021
CD2112170519,177964.1,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,1/24/2022
CD2111080778,31760,CONSTRUCTION,CAN,"500,000 - 1,000,000",2 years,11/9/2021
CD2205090762,30264.63,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,5/16/2022
CD2109091338,31920,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,11/16/2021
CD2112170403,19648.25,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,12/23/2021
CD2109220901,32421.43,CONSTRUCTION,USA,"Over 10,000,000",10+ years,12/9/2021
CD2104121298,127124,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,6/16/2021
CD2111010833,237514.77,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,11/4/2021
CD2112161011,37109.78,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,12/17/2021
CD2112270142,20131,OTHER,USA,"250,000 - 500,000",9 years,1/4/2022
CD2105040973,47600.6,MANUFACTURING,USA,"500,000 - 1,000,000",10+ years,6/28/2021
CD2109260192,9900,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,10/12/2021
CD2201130911,55666,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",6 years,1/20/2022
CD2109221071,18882.84,CONSTRUCTION,USA,"500,000 - 1,000,000",5 years,10/27/2021
CD2105040905,24260,CONSTRUCTION,CAN,"Under 250,000",10+ years,5/5/2021
CD2110290002,25948.25,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",4 years,11/2/2021
CD2112170487,66826.25,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,3/4/2022
CD2109220905,37209.22,CONSTRUCTION,USA,"Under 250,000",10+ years,9/24/2021
CD2104090837,47995,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",7 years,4/30/2021
CD2109091212,8402.7,CONSTRUCTION,USA,"Under 250,000",10+ years,9/15/2021
CD2112170014,68995,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/30/2021
CD2109221063,88477.4,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,12/20/2021
CD2106070615,42780,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,9/16/2021
CD2109091350,38880,CONSTRUCTION,USA,"Over 10,000,000",10+ years,9/27/2021
CD2112170278,81633.95,CONSTRUCTION,USA,"1,000,000 - 5,000,000",7 years,12/21/2021
CD2109220847,61535,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,10/4/2021
CD2104130430,45082.1,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",7 years,5/5/2021
CD2109091216,228898.15,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/6/2021
CD2112170334,16054.25,CONSTRUCTION,CAN,"250,000 - 500,000",1 year,12/31/2021
CD2203230331,204845,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,3/25/2022
CD2105040834,59364.53,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",5 years,5/12/2021
CD2109091235,271117.48,CONSTRUCTION,USA,"Over 10,000,000",8 years,9/23/2021
CD2112170017,81921,AGRICULTURE,USA,"5,000,000 - 10,000,000",10+ years,12/23/2021
CD2112100065,30555.92,AGRICULTURE,CAN,"250,000 - 500,000",5 years,12/17/2021
CD2104121286,67585,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,5/25/2021
CD2109091395,35345,CONSTRUCTION,USA,"Under 250,000",10+ years,9/22/2021
CD2112170419,156814.51,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/23/2021
CD2109221073,27414,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/23/2021
CD2103250350,73912.4,CONSTRUCTION,USA,"250,000 - 500,000",4 years,3/25/2021
CD2109100071,83495,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,10/8/2021
CD2112170458,66637.5,OTHER,USA,"1,000,000 - 5,000,000",10+ years,12/22/2021
CD2112100728,62600,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,12/17/2021
CD2103250365,51056.22,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/31/2021
CD2109100337,10795,CONSTRUCTION,CAN,"250,000 - 500,000",9 years,9/14/2021
CD2112160860,63189.5,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",0 years,12/31/2021
CD2110120213,87055,SHORT-HAUL TRANSPORTATION,CAN,"5,000,000 - 10,000,000",10+ years,10/12/2021
CD2205090595,179387,RENTAL COMPANY,CAN,"500,000 - 1,000,000",10+ years,5/11/2022
CD2109100594,18180,OTHER,CAN,"250,000 - 500,000",1 year,9/29/2021
CD2101050608,14413.07,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/30/2021
CD2112130212,157023.86,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",10+ years,12/17/2021
CD2105041031,46955,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",10+ years,5/25/2021
CD2109100865,65612,FORESTRY,CAN,"1,000,000 - 5,000,000",10+ years,9/20/2021
CD2112160980,46050,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,2/8/2022
CD2111290981,80348.05,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",6 years,12/8/2021
CD2103250376,175795,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/30/2021
CD2109100558,32895,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,9/15/2021
CD2012100552,100040,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",6 years,2/16/2021
CD2111291076,193254.13,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,12/23/2021
CD2103250501,61856.76,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/31/2021
CD2109100722,14498.6,MANUFACTURING,USA,"5,000,000 - 10,000,000",10+ years,10/22/2021
CD2012100553,29313.35,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",6 years,3/26/2021
CD2203311265,30012.16,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",3 years,4/30/2022
CD2104090764,68558.25,CONSTRUCTION,CAN,"500,000 - 1,000,000",7 years,4/19/2021
CD2109100628,32699.75,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,9/15/2021
CD2111031036,97548.6,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,11/10/2021
CD2110280472,82701.45,CONSTRUCTION,USA,"Under 250,000",10+ years,11/5/2021
CD2103250357,58803.47,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",5 years,8/10/2021
CD2109100062,69995,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",6 years,9/22/2021
CD2112170400,21260,CONSTRUCTION,CAN,"250,000 - 500,000",5 years,12/21/2021
CD2112100719,21577.07,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,12/15/2021
CD2104090949,90475,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",4 years,4/16/2021
CD2109100886,55995,CONSTRUCTION,USA,"1,000,000 - 5,000,000",7 years,9/15/2021
CD2112170552,134102.5,CONSTRUCTION,USA,"Over 10,000,000",6 years,12/21/2021
CD2111301109,60571.85,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,1/18/2022
CD2104131169,33696.7,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,4/20/2021
CD2109300418,53995,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/20/2021
CD2112170626,13178.1,OTHER,USA,"Under 250,000",0 years,1/11/2022
CD2112100727,88005,FORESTRY,CAN,"5,000,000 - 10,000,000",10+ years,12/16/2021
CD2104130867,54350,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",8 years,4/19/2021
CD2109100703,11678.06,CONSTRUCTION,USA,"250,000 - 500,000",8 years,9/27/2021
CD2112170855,11275.25,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,12/30/2021
CD2112100884,161224.43,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",7 years,2/9/2022
CD2104131254,31395,CONSTRUCTION,USA,"Under 250,000",10+ years,6/15/2021
CD2109100059,56591.7,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",5 years,9/28/2021
CD2105130057,22995,CONSTRUCTION,CAN,"250,000 - 500,000",9 years,5/14/2021
CD2110280262,54621.6,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,11/12/2021
CD2106071110,96206.48,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,6/18/2021
CD2109300417,330695,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,2/4/2022
CD2102040592,45615,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,2/9/2021
CD2112100715,60422.8,CONSTRUCTION,USA,"1,000,000 - 5,000,000",3 years,12/14/2021
CD2105041194,40142.4,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,8/17/2021
CD2109100077,42552.3,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,10/12/2021
CD2102050453,26795,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,3/26/2021
CD2111300417,56650.8,MATERIAL HANDLING,USA,"500,000 - 1,000,000",6 years,12/23/2021
CD2104140073,43895,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,4/21/2021
CD2111010951,59816,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,12/21/2021
CD2102050298,59678.82,AGRICULTURE,USA,"1,000,000 - 5,000,000",10+ years,2/24/2021
CD2110271009,67180,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",4 years,10/28/2021
CD2104130895,34906.5,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",8 years,4/15/2021
CD2111010929,51950.58,CONSTRUCTION,USA,"500,000 - 1,000,000",9 years,11/19/2021
CD2102040610,67580,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",5 years,2/10/2021
CD2110280497,26720.25,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",6 years,11/10/2021
CD2105050724,34902.03,CONSTRUCTION,CAN,"Under 250,000",4 years,6/25/2021
CD2109100087,89557.57,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,9/13/2021
CD2102040905,19041.88,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/8/2021
CD2112100877,6729,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,12/15/2021
CD2105050048,16763,CONSTRUCTION,USA,"Under 250,000",10+ years,5/25/2021
CD2109100877,37344.48,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,9/30/2021
CD2102040846,32077.72,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,2/23/2021
CD2112100742,45785.25,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",7 years,12/16/2021
CD2106071491,67745,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,6/29/2021
CD2109100764,54003.26,CONSTRUCTION,CAN,"Under 250,000",4 years,9/30/2021
CD2112170606,68785,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,12/21/2021
CD2112100813,36412.5,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,12/31/2021
CD2106071361,34516.54,CONSTRUCTION,USA,"500,000 - 1,000,000",4 years,6/21/2021
CD2109100847,21549.68,AGRICULTURE,CAN,"Under 250,000",10+ years,9/13/2021
CD2102040813,124205,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",5 years,3/24/2021
CD2111300437,64210,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/13/2021
CD2106071103,55737.93,CONSTRUCTION,USA,"Over 10,000,000",10+ years,6/9/2021
CD2110010420,40440.38,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,10/12/2021
CD2112170667,82011.65,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/21/2021
CD2110280876,35275.5,CONSTRUCTION,USA,"500,000 - 1,000,000",8 years,10/29/2021
CD2106240605,55395,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,7/15/2021
CD2109100796,42325,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",5 years,9/15/2021
CD2112161039,50703.75,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",0 years,1/21/2022
CD2111300460,53754.39,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,1/26/2022
CD2106070862,34719.48,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,6/29/2021
CD2109100539,23060,AGRICULTURE,CAN,"Under 250,000",9 years,10/14/2021
CD2112170609,33002.37,CONSTRUCTION,USA,"5,000,000 - 10,000,000",6 years,12/20/2021
CD2110270987,10849.44,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,10/28/2021
CD2106071170,53682.37,CONSTRUCTION,USA,"Over 10,000,000",10+ years,6/25/2021
CD2109100589,47995,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,10/4/2021
CD2102040457,30200,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/15/2021
CD2112101009,33995,CONSTRUCTION,USA,"Over 10,000,000",4 years,12/14/2021
CD2105050084,54342.68,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,1/24/2022
CD2109100560,22608.21,AGRICULTURE,USA,"Under 250,000",4 years,9/17/2021
CD2101110578,78264.52,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,4/6/2021
CD2110281014,39784.13,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,11/17/2021
CD2107160599,87220,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",10+ years,7/21/2021
CD2109100939,101205,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,9/14/2021
CD2103120995,47475,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,5/27/2021
CD2109071124,72650.23,CONSTRUCTION,USA,"5,000,000 - 10,000,000",7 years,9/17/2021
CD2106071340,46923.5,CONSTRUCTION,CAN,"500,000 - 1,000,000",7 years,6/16/2021
CD2109100800,33992,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,9/13/2021
CD2103110074,88790,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",6 years,3/19/2021
CD2112100625,156275,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,4/27/2022
CD2105041258,14460,AGGREGATE,CAN,"500,000 - 1,000,000",4 years,5/10/2021
CD2109100527,50349.93,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,11/15/2021
CD2101050654,31059.78,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",8 years,2/23/2021
CD2109071149,167395,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,11/1/2021
CD2105041270,60438.58,AGRICULTURE,USA,"1,000,000 - 5,000,000",10+ years,5/12/2021
CD2109100529,135995,CONSTRUCTION,USA,"Over 10,000,000",10+ years,9/14/2021
CD2112170647,170342.01,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,12/24/2021
CD2111150464,27057.5,CONSTRUCTION,CAN,"Under 250,000",6 years,3/24/2022
CD2105050648,27069.45,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,5/11/2021
CD2109100704,51345,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,3/22/2022
CD2112170723,75040.4,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/21/2021
CD2110280291,61881.75,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",6 years,11/24/2021
CD2109270520,59914.39,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,9/30/2021
CD2109100793,58535,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,12/30/2021
CD2112170031,193157.99,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,1/7/2022
CD2109071175,57605.76,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,12/22/2021
CD2106070795,90695,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,6/14/2021
